Result,Toss,Bat
-1,1,-1
0,-1,1
-1,-1,1
-1,-1,-1
0,1,-1
-1,-1,1
-1,1,-1
0,1,1
0,1,-1
-1,-1,1
0,1,-1
-1,-1,1
-1,-1,1
-1,-1,1
0,-1,1
0,-1,1
0,-1,1
-1,-1,1
0,-1,1
0,-1,1
0,1,-1
0,-1,1
-1,1,-1
1,-1,1
-1,1,-1
-1,1,-1
-1,-1,1
0,-1,1
1,1,-1
-1,1,-1
1,-1,1
0,-1,1
0,1,1
0,1,-1
-1,-1,1
0,1,-1
0,1,-1
0,1,-1
0,-1,1
0,1,-1
0,-1,1
0,-1,1
0,-1,1
0,1,-1
1,1,-1
0,-1,1
0,1,-1
1,1,-1
-1,1,-1
0,1,-1
-1,1,1
0,-1,1
-1,-1,1
-1,-1,1
-1,-1,1
0,1,-1
-1,-1,1
-1,1,-1
-1,1,-1
-1,-1,1
-1,1,-1
-1,1,-1
1,1,-1
0,1,-1
-1,-1,1
0,1,-1
0,-1,1
0,-1,1
0,-1,1
0,-1,1
0,1,-1
0,-1,1
0,1,-1
0,1,-1
1,1,-1
1,1,-1
-1,1,-1
-1,1,-1
-1,-1,-1
-1,-1,1
-1,-1,1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,1
-1,-1,1
1,-1,1
0,1,1
0,1,-1
0,-1,1
0,-1,1
1,-1,1
-1,1,-1
-1,-1,1
0,1,-1
-1,-1,1
-1,1,-1
-1,-1,1
-1,-1,1
-1,1,-1
-1,1,1
-1,1,1
1,-1,1
-1,1,1
1,-1,1
1,-1,-1
1,1,-1
-1,-1,1
0,-1,1
-1,1,-1
0,1,-1
1,-1,1
-1,-1,-1
-1,-1,1
0,-1,-1
1,-1,1
0,-1,1
0,1,1
0,1,-1
0,-1,1
0,-1,1
1,-1,1
-1,1,-1
1,1,-1
1,-1,1
0,1,-1
0,1,-1
-1,-1,1
-1,-1,1
-1,1,-1
-1,1,1
-1,1,-1
1,1,-1
1,1,-1
-1,-1,1
1,-1,1
0,1,-1
-1,1,-1
-1,1,-1
0,1,1
1,-1,1
-1,-1,-1
1,1,-1
0,1,-1
1,1,-1
-1,-1,1
-1,1,-1
-1,-1,1
1,1,-1
0,1,-1
-1,-1,1
-1,1,-1
1,1,-1
1,-1,1
-1,-1,1
0,-1,1
-1,-1,-1
-1,1,-1
0,-1,-1
0,-1,1
0,1,-1
1,-1,1
0,1,-1
0,1,-1
-1,-1,1
0,1,-1
0,-1,1
0,-1,1
0,-1,1
0,-1,1
1,1,-1
0,1,-1
0,-1,1
1,1,-1
0,-1,1
0,-1,1
1,1,-1
0,1,-1
1,-1,1
0,1,-1
-1,1,-1
-1,1,-1
0,1,1
1,-1,-1
-1,1,1
0,1,-1
0,1,-1
1,1,-1
0,-1,1
0,-1,1
0,-1,1
0,-1,-1
0,-1,1
-1,-1,1
0,-1,1
0,-1,1
0,-1,1
0,1,1
-1,-1,-1
-1,-1,-1
-1,-1,1
0,1,1
0,1,-1
-1,-1,-1
0,-1,-1
0,-1,1
-1,-1,-1
0,-1,-1
0,1,-1
0,1,1
0,1,-1
-1,-1,1
0,1,-1
-1,1,1
0,1,-1
-1,1,-1
0,-1,1
0,-1,1
0,1,-1
canc,-,-
1,-1,1
-1,1,-1
0,1,-1
-1,1,-1
0,1,-1
0,1,-1
-1,-1,1
0,1,-1
0,-1,1
0,1,1
0,1,-1
1,1,1
1,1,-1
0,-1,1
tied,-1,1
0,-1,1
0,-1,1
0,-1,1
1,-1,1
1,1,-1
0,-1,1
0,-1,-1
0,1,-1
0,-1,1
-1,-1,1
-1,1,-1
0,1,-1
0,-1,1
1,1,-1
1,1,-1
-1,-1,1
1,-1,1
0,1,1
-1,-1,-1
-1,1,1
-1,-1,-1
0,1,1
0,-1,-1
0,1,-1
0,-1,-1
-1,-1,1
0,1,-1
0,1,1
-1,1,1
0,-1,1
0,1,-1
1,1,-1
-1,-1,-1
-1,1,-1
0,1,1
-1,1,1
-1,-1,1
0,-1,1
0,1,1
0,-1,1
-1,-1,-1
0,-1,1
1,1,-1
1,1,-1
1,-1,1
1,1,-1
0,1,1
1,1,-1
0,-1,1
1,1,-1
1,1,-1
1,-1,1
0,-1,1
1,1,-1
0,1,-1
-1,-1,1
1,-1,1
0,1,-1
0,1,-1
-1,1,-1
0,1,1
0,1,-1
1,-1,1
1,1,-1
-1,-1,1
1,1,-1
-1,1,1
-1,-1,1
0,1,-1
0,-1,1
0,-1,1
-1,1,1
0,-1,1
0,1,-1
0,1,-1
0,1,1
0,1,1
0,1,-1
0,-1,-1
1,1,-1
1,-1,1
-1,1,-1
-1,1,1
aban,-,-
-1,1,-1
0,1,1
-1,-1,1
1,1,-1
-1,-1,1
0,-1,-1
1,1,1
